Key, Date, From, To
CLAIRE-216,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-216,0.08333333333333333,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-216,1.0,Waiting for QA,In QA Review
CLAIRE-216,258.43333333333334,Accept,Open
CLAIRE-216,51.016666666666666,In Development,WAITING FOR CODE REVIEW
CLAIRE-216,1.5833333333333333,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-219,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-219,19.35,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-219,79.85,In QA Review,In Development
CLAIRE-219,15.05,In Development,WAITING FOR CODE REVIEW
CLAIRE-219,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-219,0.4166666666666667,Waiting for QA,In QA Review
CLAIRE-222,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-222,163.75,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-222,145.1,In QA Review,In Development
CLAIRE-222,121.08333333333333,In Development,WAITING FOR CODE REVIEW
CLAIRE-222,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-222,24.8,Waiting for QA,In QA Review
CLAIRE-230,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-230,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-234,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-234,259.31666666666666,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-235,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-235,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-235,27.133333333333333,Waiting for QA,In QA Review
CLAIRE-236,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-236,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-259,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-259,143.25,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-263,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-263,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-271,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-271,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-277,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-277,48.06666666666667,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-281,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-281,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-283,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-283,0.0,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-290,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-290,0.016666666666666666,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-293,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-293,19.916666666666668,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-293,4.0,In QA Review,In Development
CLAIRE-293,140.0,In Development,WAITING FOR CODE REVIEW
CLAIRE-293,4.983333333333333,WAITING FOR CODE REVIEW,Waiting for QA
CLAIRE-293,19.75,Waiting for QA,In QA Review
CLAIRE-295,0,In Development,WAITING FOR CODE REVIEW
CLAIRE-295,24.883333333333333,WAITING FOR CODE REVIEW,Waiting for QA
