Key, Date, From
SON-173,0,Defined
SON-173,0.0,Investigation In-Progress
SON-173,0.0,Investigation Done
SON-173,0.0,Planned
SON-173,0.0,In Dev
SON-173,0.0,Waiting for QA
SON-173,0.0,In QA Review
SON-173,0.0,In Dev
SON-173,0.0,Waiting for QA
SON-173,0.0,In QA Review
SON-173,0.0,In Dev
SON-173,14.666666666666666,Waiting for QA
SON-173,22.85,In QA Review
SON-173,23.566666666666666,In Dev
SON-173,72.21666666666667,Waiting for QA
SON-173,0.7,In QA Review
SON-173,0.08333333333333333,QA Verified
SON-289,0,Defined
SON-289,0.0,Investigation In-Progress
SON-289,39.35,Investigation Done
SON-289,87.66666666666667,Planned
SON-289,200.31666666666666,In Dev
SON-289,18.75,Waiting for QA
SON-289,2.3333333333333335,In QA Review
SON-289,11.55,In Dev
SON-289,0.0,Waiting for QA
SON-289,0.0,In QA Review
SON-290,0,Defined
SON-290,0.0,Investigation In-Progress
SON-290,0.0,Investigation Done
SON-290,56.416666666666664,Planned
SON-290,7.983333333333333,In Dev
SON-290,69.66666666666667,Waiting for QA
SON-290,1.1833333333333333,In QA Review
SON-290,78.01666666666667,QA Verified
SON-291,0,Defined
SON-291,0.0,Investigation In-Progress
SON-291,0.0,Investigation Done
SON-291,0.0,Planned
SON-291,39.46666666666667,In Dev
SON-291,19.0,Waiting for QA
SON-291,71.51666666666667,In QA Review
SON-291,22.25,In Dev
SON-291,1.7,Waiting for QA
SON-291,4.2,In QA Review
SON-291,0.75,QA Verified
SON-295,0,Defined
SON-295,0.0,Investigation In-Progress
SON-295,13.433333333333334,Investigation Done
SON-295,9.683333333333334,Planned
SON-295,36.4,In Dev
SON-295,70.6,Waiting for QA
SON-295,1.95,In QA Review
SON-295,1.75,QA Verified
SON-306,0,Defined
SON-306,11.933333333333334,Investigation In-Progress
SON-306,0.0,Investigation Done
SON-306,0.0,Planned
SON-306,20.833333333333332,In Dev
SON-306,96.05,Waiting for QA
SON-306,0.9666666666666667,In QA Review
SON-306,28.666666666666668,In Dev
SON-306,20.15,Waiting for QA
SON-306,1.5666666666666667,In QA Review
SON-306,6.716666666666667,In Dev
SON-306,13.433333333333334,Waiting for QA
SON-306,1.5,In QA Review
SON-306,11.45,QA Verified
SON-307,0,Defined
SON-307,24.683333333333334,Investigation In-Progress
SON-307,1.45,Investigation Done
SON-307,287.3333333333333,Planned
SON-307,34.53333333333333,In Dev
SON-307,0.0,Waiting for QA
SON-307,0.0,In QA Review
SON-307,0.0,QA Verified
SON-334,0,Defined
SON-334,35.666666666666664,Investigation In-Progress
SON-334,0.0,Investigation Done
SON-334,0.0,Planned
SON-334,0.0,In Dev
SON-334,0.0,Waiting for QA
SON-334,0.0,In QA Review
SON-334,0.0,In Dev
SON-334,0.0,Waiting for QA
SON-334,0.0,In QA Review
SON-334,0.0,QA Verified
SON-335,0,Defined
SON-335,0.0,Investigation In-Progress
SON-335,179.7,Investigation Done
SON-335,36.25,Planned
SON-335,12.466666666666667,In Dev
SON-335,68.43333333333334,Waiting for QA
SON-335,4.316666666666666,In QA Review
SON-335,45.93333333333333,QA Verified
SON-344,0,Defined
SON-344,2.0833333333333335,Investigation In-Progress
SON-344,2.35,Investigation Done
SON-344,0.6833333333333333,Planned
SON-344,0.7166666666666667,In Dev
SON-344,19.5,Waiting for QA
SON-344,73.81666666666666,In QA Review
SON-344,1.0666666666666667,QA Verified
SON-360,0,Defined
SON-360,7.083333333333333,Investigation In-Progress
SON-360,68.25,Investigation Done
SON-360,0.0,Planned
SON-360,0.0,In Dev
SON-360,0.0,Waiting for QA
SON-360,0.0,In QA Review
SON-360,97.13333333333334,QA Verified
SON-363,0,Defined
SON-363,0.11666666666666667,Investigation In-Progress
SON-363,6.633333333333334,Investigation Done
SON-363,0.0,Planned
SON-363,0.9666666666666667,In Dev
SON-363,63.46666666666667,Waiting for QA
SON-363,0.0,In QA Review
SON-363,101.13333333333334,QA Verified
SON-388,0,Defined
SON-388,0.0,Investigation In-Progress
SON-388,0.0,Investigation Done
SON-388,0.0,Planned
SON-388,45.81666666666667,In Dev
SON-388,0.4666666666666667,Waiting for QA
SON-388,1.5,In QA Review
SON-388,70.41666666666667,In Dev
SON-388,0.8666666666666667,Waiting for QA
SON-388,0.9166666666666666,In QA Review
SON-388,47.083333333333336,QA Verified
